2,4029
0,4069
3,4437
2,4866
3,5271
1,5281
2,5549
0,5636
2,6043
1,6145
2,6260
0,6410
2,6527
1,6557
1,7707
3,8107
1,8164
0,8700
2,8921
1,9047
2,9204
0,9398
3,9492
2,9952
1,10294
0,10586
2,10725
1,10899
2,11017
0,11234
3,11328
2,11709
1,11785
0,11982
2,12120
1,12331
2,12518
1,12739
2,12925
1,13087
2,13384
0,13514
3,13703
0,13908
3,14016
1,14232
2,14392
1,14592
2,14759
0,14983
3,15213
0,15376
2,15640
1,15751
0,15975
3,16021
1,16219
2,16229
0,16360
3,16423
2,16545
1,16554
3,16946
0,17048
2,17297
1,17360
2,17527
0,17596
3,17605
1,17750
2,17751
1,18520
2,18734
0,18754
1,18821
0,18960
3,19006
1,19137
2,19201
0,19284
3,19313
1,19473
2,19490
0,19601
3,19610
3,20036
0,20304
1,20369
3,20571
